position_latitude,position_longitude,date,year,month
75.16666666666667,29.0,1986-03-03,1986,3
64.86166666666666,11.245,1986-02-26,1986,2
64.86166666666666,11.245,1986-02-26,1986,2
62.383833333333335,5.4,1986-02-24,1986,2
62.383833333333335,5.4,1986-02-24,1986,2
70.65,23.683333333333334,1986-01-16,1986,1
70.65,23.683333333333334,1986-01-16,1986,1
51.0,6.0,1985-12-28,1985,12
51.0,6.0,1985-12-28,1985,12
51.916666666666664,4.483333333333333,1985-12-14,1985,12
51.916666666666664,4.483333333333333,1985-12-14,1985,12
69.37833333333333,18.558333333333334,1985-12-03,1985,12
68.28333333333333,14.75,1985-11-27,1985,11
68.28333333333333,14.75,1985-11-27,1985,11
62.49333333333333,6.136666666666667,1985-11-10,1985,11
62.49333333333333,6.136666666666667,1985-11-10,1985,11
70.05833333333334,23.166666666666668,1985-11-10,1985,11
70.96666666666667,26.608333333333334,1985-11-10,1985,11
55.605,12.701666666666666,1985-10-23,1985,10
55.605,12.701666666666666,1985-10-23,1985,10
58.0,11.0,1985-10-21,1985,10
58.0,11.0,1985-10-21,1985,10
59.775,10.56,1985-10-16,1985,10
59.775,10.56,1985-10-16,1985,10
55.06666666666667,-1.325,1985-10-14,1985,10
55.06666666666667,-1.325,1985-10-14,1985,10
70.655,22.775,1985-10-07,1985,10
